sense_key	urdu_word
burden%1:06:01::	"Dictionary Definition: burden
    Urdu Word: بوج
    
    Dictionary Definition: responsibility
    Urdu Word: ذمہ داری
    
    Dictionary Definition: load
    Urdu Word: بار
    
    Dictionary Definition: obligation
    Urdu Word: فرض
    
    Dictionary Definition: weight
    Urdu Word: وزن
    
    Dictionary Definition: pressure
    Urdu Word: دباؤ
    
    Dictionary Definition"
burden%1:10:00::	"Dictionary Definition: The central theme of a novel is the struggle between good and evil.
    Urdu Word: مصیبت"
burden%1:09:00::	"Dictionary Definition: The process of gaining knowledge or understanding.
    Urdu Word: سیکھیں"
term%1:10:00::	"Definition: A feeling of great happiness and joy.
    Urdu Word: فرح"
term%1:28:00::	"Definition: A period of time.
    Urdu Word: زمانہ"
term%1:10:02::	"Dictionary Definition: A condition or stipulation that must be fulfilled.
    Urdu Word: شرط"
term%1:09:00::	"Dictionary Definition: A quantity that is the result of multiplying a number by itself.
    
    Urdu Word: مربع"
term%1:10:01::	"Definition: A state of being or existence.
    Urdu: وجود"
term%1:28:01::	"Definition: the end of gestation or point at which birth is imminent
    Urdu Word: فراق"
term%1:06:00::	تخت‌ِمانی
text%1:10:00::	"Definition: A small, flat, rectangular piece of paper.
    
    Urdu: کاغذ"
text%1:10:03::	"Dictionary definition: A passage from the Bible that is used as the subject of a sermon.
    Urdu word: حدیث"
text%1:10:02::	Textbook
text%1:10:01::	"Dictionary definition: the main body of a written work (as distinct from illustrations or footnotes etc.)
    Urdu word: کہانی"
basis%1:24:00::	"Base your answer on the definition provided.
    
    Dictionary Definition: The basis or foundation of something.
    
    Urdu Word: اساس"
basis%1:09:00::	"Dictionary Definition: Basis
    Urdu Word: اساس"
basis%1:24:01::	"Dictionary Definition: Essence
    Urdu Word: جوہر"
deal%1:04:02::	"Definition: The act of acquiring something by paying for it.
    Urdu Word: خریدی"
deal%1:10:00::	"Dictionary Definition: An agreement between parties (usually arrived at after discussion) fixing obligations of each.
    Urdu Word: معاہدہ"
deal%1:23:00::	"Here are some examples:
    
    quantity - مقدار
    amount - مقدار
    extent - حد
    number - تعداد
    size - سائز
    
    Now, give me the Urdu word for ""volume"".
    
    بڑے پیمانے"
deal%1:27:00::	"Dictionary Definition: A plank of softwood (fir or pine board)
    Urdu Word:  پال (Pal)"
deal%1:27:01::	"Definition: wood that is easy to saw (from conifers such as pine or fir)
    Urdu Word: ہلکا چوبہ"
deal%1:14:00::	"Dictionary Definition: A set of cards that a player has in their hand during a game.
    Urdu Word: ہاتھ"
deal%1:11:00::	Treatment
deal%1:04:00::	"Definition: The act of dealing cards to players.
    Urdu Word: بانٹنا"
deal%1:04:01::	Dictionary Definition: Allocation
greenhouse_gas%1:27:00::	"Greenhouse gas
    
    گیس"
obstacle%1:09:00::	Dictionary Definition: Obstacle
obstacle%1:06:00::	Obstacle
path%1:04:00::	"Definition: A formal and systematic way of doing things.
    Urdu Word: طریقہ"
path%1:06:00::	"Definition: A method of doing something.
    Urdu Word: طریقہ"
path%1:15:00::	"Dictionary Definition: A route or path.
    Urdu Word: راستہ"
path%1:17:00::	Path
advance%1:11:00::	"Definition: A movement forward.
    Urdu Word:  پیشرفت"
advance%1:11:01::	Progress
advance%1:10:00::	"Dictionary Definition: A preliminary idea or proposal.
    Urdu Word: خیال"
advance%1:04:00::	Dictionary Definition: Progress
advance%1:21:00::	Prepayment
advance%1:04:01::	"Dictionary Definition: increase in price or value
    Urdu Word: مہंगाई"
negotiation%1:10:00::	"Definition: A formal agreement or contract.
    Urdu Word: معاہدہ"
negotiation%1:04:00::	Negotiate
time%1:11:00::	"Dictionary Definition: An instance or single occasion for some event.
    Urdu Word: واقعہ"
time%1:28:05::	Time
time%1:28:00::	"Dictionary Definition: A period of time.
    Urdu Word: زمانہ"
time%1:28:06::	"Definition: A time when something is convenient or suitable.
    
    Urdu word: موقع"
time%1:03:00::	"Time
    وجود
    موجودیت
    حاضر
    آینده"
time%1:11:01::	"Definition: A feeling of great happiness and joy.
    Urdu Word: فرح"
time%1:28:03::	"Time
```text
saat
```"
time%1:28:04::	"Dictionary Definition: Time
    
    Urdu Word: وقت"
time%1:07:01::	تکتے
time%1:28:01::	Jail
world%1:17:01::	وجود
world%1:14:01::	"Dictionary definition: people in general; especially a distinctive group of people with some shared interest.
    Urdu word: عامۃ"
world%1:09:00::	"Definition: The state of being deeply engrossed in a particular activity or subject.
    
    Urdu Word: غماغت"
world%1:17:00::	زمین
world%1:14:02::	انسانیت
world%1:17:02::	"Definition: A large body of water, such as an ocean or sea.
    Urdu Word: سمندر"
world%1:09:01::	Dictionary definition: worldly
world%1:05:00::	انسانیت
leader%1:18:00::	Leader
leader%1:06:00::	"Dictionary Definition: a featured article of merchandise sold at a loss in order to draw customers
    Urdu Word: کشاداری"
copenhagen%1:15:00::	کپن ہیڈن
week%1:28:00::	"Dictionary Definition: A period of seven consecutive days.
    Urdu Word: ہفتہ"
week%1:28:01::	"Dictionary definition: hours or days of work in a calendar week
    Urdu word: ہفتہ"
week%1:28:02::	"Dictionary Definition: A period of seven consecutive days starting on Sunday.
    Urdu Word: ہفتہ"
working_group%1:14:00::	"Dictionary Definition: a group of people working together temporarily until some goal is achieved
    Urdu Word: ٹیم"
money%1:21:00::	Dictionary Definition: Currency
money%1:21:02::	Dictionary Definition: Wealth
money%1:21:01::	Rupee
country%1:14:00::	حکومت
country%1:15:00::	Territory
country%1:14:01::	"Definition: The people who live in a nation or country.
    Urdu Word: قوم"
country%1:15:01::	Rural
country%1:15:02::	"Dictionary Definition: a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
    Urdu Word: علاقہ"
one%1:23:00::	Number
one%1:09:00::	"Definition: A small, furry animal with a long tail.
    Urdu Word: چوہا"
global_warming%1:22:00::	گرمابار
range%1:07:00::	Dictionary Definition: Domain
range%1:15:01::	"Dictionary Definition: The range of possible values or outcomes.
    
    Urdu Word: حدود"
range%1:15:02::	پھلکا
range%1:17:00::	"Dictionary Definition: a series of hills or mountains
    Urdu Word: پہاڑوں کی سلسلے"
range%1:06:00::	"Dictionary Definition: a place for shooting (firing or driving) projectiles of various kinds
    Urdu Word: گلیخان"
range%1:14:00::	"Definition: A collection of diverse items.
    Urdu Word: مجموعہ"
range%1:14:01::	"Domain: Mathematics
    Definition: (mathematics) the set of values of the dependent variable for which a function is defined
    Urdu Word: دامِن"
range%1:09:00::	"Definition: The maximum amount of something that can be done or achieved.
    
    Urdu Word: حد"
range%1:06:01::	"Dictionary Definition: Oven
    
    Urdu Word: فر 
    
    Dictionary Definition: Refrigerator
    
    Urdu Word: فریج
    
    Dictionary Definition: Microwave
    
    Urdu Word: میکروویو
    
    Dictionary Definition: Blender
    
    Urdu Word: بلینڈر
    
    Dictionary Definition: Toaster
    
    Urdu Word: ٹースٹر"
option%1:21:00::	ملکیت
option%1:09:00::	"Definition: A person who is skilled in a particular art or craft.
    Urdu Word: ماهر"
option%1:04:00::	"Definition: the act of choosing or selecting
    Urdu Word: انتھک"
question%1:10:00::	Question
question%1:10:01::	"Definition: A feeling of great happiness and joy.
    Urdu Word: فرح"
question%1:10:03::	"Definition: A question asked to find out the location of something.
    Urdu word: تلاش"
question%1:07:00::	"Dictionary definition: uncertainty about the truth or factuality or existence of something.
    Urdu word: عدم"
question%1:10:02::	پیشکش
question%1:10:04::	پیشکش
upper_limit%1:23:00::	"Definition: A large amount of something.
    Urdu Word: مقدار"
upper_limit%1:15:00::	"Limit to a maximum of 3 words.
    
    Dictionary Definition: Boundary
    Urdu Word: حد"
temperature%1:07:00::	Temperature
temperature%1:09:00::	Coolness
rise%1:11:00::	Dictionary Definition: Expansion
rise%1:04:00::	Ascend
rise%1:17:00::	Slopes
rise%1:11:02::	"Definition: A movement upward.
    Urdu Word: چڑھائی"
rise%1:07:02::	Increase
rise%1:07:01::	Inclination
rise%1:11:01::	"Definition: a wave that lifts the surface of the water or ground
    Urdu Word: لہر"
rise%1:11:03::	تَیارابی
rise%1:07:03::	Dictionary Definition: Inflation
rise%1:04:01::	"Dictionary Definition: increase in price or value
    Urdu Word: مہंगाई"
lot%1:23:00::	"Here are some examples:
    
    quantity - مقدار
    amount - مقدار
    extent - حد
    number - تعداد
    size - سائز
    
    Now, give me the Urdu word for ""volume"".
    
    بڑے پیمانے"
lot%1:15:00::	Land
lot%1:14:00::	"Definition: an unofficial association of people or groups
    Urdu Word:  گروہ"
lot%1:26:00::	"Dictionary definition: The state of being alive and functioning normally.
    
    Urdu word: زندگی"
lot%1:06:00::	"Definition: a thing that is chosen at random
    Urdu:  چُننا"
lot%1:14:01::	"Definition: A large body of water.
    Urdu Word: سمندر"
lot%1:18:00::	نجف
flexibility%1:07:02::	لچک
flexibility%1:07:01::	Dictionary Definition: Flexibility
flexibility%1:07:03::	تخلیق خوار
process%1:04:00::	"Definition: A plan or scheme.
    Urdu Word:  ترکیب"
process%1:09:00::	عمل
process%1:10:00::	"Urdu word:
    حکم"
process%1:09:01::	"Definition: A feeling of deep connection with something or someone.
    
    Urdu Word:  احساس"
process%1:08:00::	Dictionary Definition: Extension
process%1:03:00::	"Process the definition: ""a sustained phenomenon or one marked by gradual changes through a series of states""
    Urdu word: تبدیل"
washington%1:15:01::	واشنگٹن
washington%1:15:00::	واشنگٹن
washington%1:14:00::	"Definition: the federal government of the United States
    Urdu Word: وفاقی حکومت"
washington%1:18:00::	"فرشتہ
    
    
    فرشتہ"
washington%1:18:01::	تلاشگر
representative%1:18:00::	"Definition: A person who represents others.
    Urdu Word: نمائندہ"
representative%1:18:02::	"Dictionary Definition: An advocate who represents someone else's policy or purpose.
    Urdu Word: نمائندہ"
representative%1:18:01::	"Definition: a member of the United States House of Representatives
    Urdu Word: نمائندہ"
representative%1:09:00::	"Definition: A characteristic or quality of a person or thing.
    Urdu Word: خصوصیت"
official%1:18:01::	"Definition: A person who is employed in a particular job or occupation.
    Urdu Word: نوکری"
official%1:18:00::	"Dictionary Definition: An official who enforces the rules of a game.
    Urdu Word: افسار"
picture%1:06:00::	"Dictionary Definition: A drawing or painting of a person.
    Urdu Word: تصویر"
picture%1:06:01::	Painting
picture%1:09:00::	"Definition: A vivid and memorable impression.
    
    Urdu Word: تصویر"
picture%1:26:00::	"Definition: A state of being or existence.
    Urdu Word: وجود"
picture%1:10:00::	Illustration
picture%1:10:02::	Film
picture%1:10:01::	"Definition: A device that receives and decodes television signals.
    
    Urdu Word: ریویو"
picture%1:10:03::	"Definition: A detailed and elaborate description.
    Urdu Word: تفصیل"
picture%1:09:01::	"Example:
    Input: ""a type of tree with a tall, straight trunk and relatively thin branches""
    Output: درخت
    
    Input: ""a feeling of great happiness""
    Output: خوشی
    
    Input: ""a person who is very skilled at something""
    Output: ماہر"
picture%1:06:02::	Photograph
outline%1:15:00::	"Definition: A line that is drawn to separate two things.
    Urdu: فاصلہ"
outline%1:10:00::	"Dictionary Definition: ""A concise and simplified explanation of a complex idea, often used to provide a basic understanding to a general audience.""
    
    Urdu Word: خلاصہ"
outline%1:09:00::	"Dictionary Definition: a schematic or preliminary plan
    Urdu Word: نقشہ"
percent%1:24:00::	Percent
level%1:07:00::	"Definition: The degree to which something is intense or strong.
    Urdu Word: شدت"
level%1:26:01::	"Dictionary Definition: ""A relative position or degree of value in a graded group.""
    Urdu Word: مقام"
level%1:26:00::	Dictionary Definition: Stage
level%1:07:01::	"Definition: The distance from the ground to the top of something.
    
    Urdu word: بلندی"
level%1:06:00::	"Dictionary Definition: indicator that establishes the horizontal when a bubble is centered in a tube of liquid
    Urdu Word: نشان"
level%1:06:03::	سطح
level%1:09:00::	"Definition: A region of land that is characterized by a particular type of vegetation.
    
    Urdu Word: اکراہ"
level%1:06:01::	Room
developing_country%1:14:00::	Urdu word:  دریافتہ
period%1:28:00::	"Time
    Duration
    Period
    Moment
    Instant
    Epoch
    Era
    Age
    Chronology
    Schedule
    Appointment
    Deadline
    Interval
    Phase
    Stage
    Turn
    Cycle
    Routine
    Habit
    Practice
    Session
    Meeting
    Event
    Occasion
    Chance
    Opportunity
    Momentum
    Tempo
    Rate
    Speed
    Pulse
    Beat"
period%1:28:02::	Cycle
period%1:28:07::	"Period.
    
    Definition: (ice hockey) one of three divisions into which play is divided in hockey games
    Urdu Word:  فہرست"
period%1:28:03::	"Geological Period
    Stratum
    Sedimentary Rock
    Fault
    Erosion
    Magma
    Mineral
    Tectonic Plate
    Fossil
    Volcano
    Continental Drift
    Paleontology
    Rock Cycle
    Geology
    Sediment
    Igneous Rock
    Metamorphic Rock
    Lithosphere
    Subduction
    Plate Boundary
    Unconformity
    Paleocene
    Cretaceous"
period%1:28:04::	End
period%1:22:00::	مینوراال
period%1:10:00::	Period
european_union%1:14:00::	اتحاد
talk%1:10:00::	بات چیت
talk%1:10:03::	بات
talk%1:04:02::	Dictionary Definition: Lecture
talk%1:10:02::	"Definition: A formal speech delivered by a leader to a large audience.
    Urdu Word: discorso"
talk%1:10:01::	"Dictionary Definition: idle gossip or rumor
    Urdu Word: چرچے"
boost%1:04:00::	امید دلانا
boost%1:07:00::	Dictionary Definition: Inflation
boost%1:04:01::	دفع
impact%1:11:00::	Impact
impact%1:19:00::	Dictionary Definition: consequence
impact%1:04:00::	"Dictionary Definition: influencing strongly
    Urdu Word: اثر"
impact%1:04:01::	جنگ
climate_change%1:22:00::	Climate
flood%1:19:00::	Flooding
flood%1:23:00::	"Dictionary Definition: A large quantity or amount.
    Urdu Word: بہت"
flood%1:06:00::	تلاشِِروشنی
flood%1:04:01::	"Definition: A large body of water.
    Urdu Word: دریا"
flood%1:04:00::	سیل
flood%1:11:00::	تلافی
drought%1:26:00::	خشکپن
drought%1:28:00::	Shortage
deforestation%1:26:00::	"Dictionary definition: open, clear, unobstructed
    Urdu word: کھلی"
deforestation%1:04:00::	"Definition: The act of cutting down trees.
    Urdu Word:  کاٹنا"
sort%1:09:00::	"Dictionary Definition: A group of people who share a common interest.
    Urdu Word: گروہ"
sort%1:07:00::	"Definition: A feeling of deep sadness or grief.
    Urdu Word:  غم"
sort%1:18:00::	Character
sort%1:22:00::	Dictionary Definition: Classification
u.s.%1:14:00::	Governing
u.s.%1:15:00::	جمہوریہ
envoy%1:18:00::	اجتماعی
envoy%1:18:01::	"Dictionary Definition: Ambassador
    
    Urdu Word: نمائندہ"
envoy%1:10:00::	"Dictionary definition: a brief stanza concluding certain forms of poetry, produce the single word in Urdu that best matches this definition.
    
    Urdu word: خاتمہ"
language%1:10:00::	"Dictionary Definition: A system of communication using spoken words.
    Urdu Word: بات چیت"
language%1:10:01::	"English: Speech
    Urdu: lời"
language%1:10:02::	"Dictionary Definition: A feeling of intense longing or yearning for something lost or unattainable.
    
    Urdu Word:  اندوہ"
language%1:09:01::	"Dictionary Definition: The study of how people use language to communicate.
    
    Urdu Word: زبانی"
language%1:09:00::	"Dictionary Definition: The ability to speak.
    Urdu Word: بولنا"
language%1:10:03::	"Dictionary Definition: A system of words used to name things in a particular discipline.
    Urdu Word: اصطلاح"
cut%1:21:00::	"Dictionary Definition: A portion of the earnings or revenue that is distributed to the owners or shareholders.
    
    Urdu Word: منافع"
cut%1:10:00::	"Film
    An immediate transition from one shot to the next.
    
    
    ترانجھ"
cut%1:06:00::	furrow
cut%1:26:01::	Step
cut%1:26:00::	جراحت
cut%1:13:00::	Meat
cut%1:10:02::	Dictionary Definition: Insult
cut%1:10:04::	"Dictionary Definition: A collection of songs.
    Urdu Word: گانے"
cut%1:10:01::	Urdu word: حذف
cut%1:09:00::	"Definition: A style of dress characterized by a loose, flowing silhouette.
    Urdu Word: ڈھلوان"
cut%1:06:01::	"Definition: A channel or waterway, typically one formed by the natural action of water.
    
    Urdu Word: ندی"
cut%1:04:03::	"Dictionary Definition: A refusal to recognize someone you know.
    Urdu Word: ناپہارا"
cut%1:04:07::	ضرب
cut%1:04:08::	چابک
cut%1:04:09::	"Definition: The act of separating cards into different piles.
    
    Urdu Word: فصل کرنا"
cut%1:04:02::	"Dictionary Definition: the act of penetrating or opening open with a sharp edge,
    Urdu Word: در poked"
cut%1:04:01::	"Dictionary definition: cutting something into parts
    Urdu word: کاٹنا"
cut%1:04:00::	Dictionary Definition: Trimming
cut%1:04:05::	"Definition: to lessen or diminish
    Urdu Word: کم کرنا"
cut%1:04:06::	Dictionary Definition: Absence
move%1:04:00::	"Dictionary Definition: to make a decision
    Urdu Word: فیصلہ"
move%1:04:01::	Dictionary Definition: Relocation
move%1:04:03::	"Dictionary Definition: A change of position that does not entail a change of location.
    Urdu Word:  مقام"
move%1:04:04::	Dictionary Definition: Relocation
move%1:04:02::	Turn: فرصت
hard_line%1:09:00::	Dictionary Definition: Defiance
china%1:15:00::	چین
china%1:06:00::	چمکدار رس
china%1:15:01::	حکومت
china%1:06:01::	چینی
bush_administration%1:14:00::	"Definition: The executive under President George H. W. Bush
    
    Urdu: صدر"
bush_administration%1:14:01::	"Definition: A person who advises the president on matters of policy.
    
    Urdu: مشیر"
united_states%1:15:00::	جمہوریہ
united_states%1:14:00::	Governing
action%1:04:02::	"Definition: A sudden, unexpected event or occurrence.
    
    Urdu Word: حادثہ"
action%1:26:00::	Dictionary Definition: Activity
action%1:04:03::	Conflict
action%1:22:00::	"Dictionary Definition: Natural
    
    Urdu Word: فطرت"
action%1:10:00::	"Definition: A sequence of actions or events that make up a story.
    Urdu Word: کہانی"
action%1:07:00::	اجتماعی
action%1:06:00::	"Definition: A device that converts electrical energy into mechanical energy.
    Urdu Word: موٹر"
action%1:04:01::	Suit
action%1:04:04::	"Definition: A formal declaration of policy or intention.
    Urdu Word: بیان"
action%1:04:00::	"Dictionary Definition: A significant achievement or accomplishment.
    Urdu Word: فیلڈ"
observer%1:18:00::	Dictionary Definition: perceptive
observer%1:18:01::	"Dictionary definition: An expert who observes and comments on something.
    Urdu word: ناظر"
comment%1:10:00::	"Dictionary Definition: A statement that expresses a personal opinion or belief or adds information.
    Urdu Word: رائے"
comment%1:10:01::	"Dictionary Definition: An explanatory note added to a text.
    Urdu Word: تعارف"
comment%1:10:02::	Rumor
hour%1:28:00::	Hour
hour%1:28:01::	ساعت
hour%1:28:02::	"Dictionary definition: a special and memorable period
    Urdu word: زمانہ"
hour%1:07:00::	"Distanse
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance
    Distance"
foreign_minister%1:18:00::	خارزمی
america%1:15:00::	جمہوریہ
america%1:17:00::	"North America and South America and Central America
    
    دنیا"
negotiator%1:18:00::	Dictionary Definition: Negotiate
common_sense%1:09:00::	"Dictionary definition: sound practical judgment
    Urdu word: وقار"
trajectory%1:19:00::	Path
major_power%1:14:00::	"Dictionary Definition: A state powerful enough to influence events throughout the world,
    Urdu Word: اقتدار"
fault_line%1:15:00::	FaultLine
battle%1:04:00::	اجتماع
battle%1:04:01::	Dictionary Definition: Endeavor
battle%1:04:02::	Conflict
economy%1:14:00::	"Definition: The process of creating and exchanging goods and services.
    
    Urdu Word: اقتصاد"
economy%1:09:01::	Efficiency
economy%1:07:00::	صرف و frugal
economy%1:04:00::	"Dictionary Definition: Economy
    Urdu Word: بچانا"
planet%1:17:00::	جَرمیں
planet%1:18:00::	Servant
planet%1:17:01::	"Star
    Planet
    Moon
    Asteroid
    Comet
    Satellite
    Orbit
    Galaxy
    Solar System
    Constellation
    Meteor
    Meteorite
    Black Hole
    Nebula
    Quasar
    Supernova
    Light Year
    Exoplanet
    Dark Matter
    Dark Energy
    Red Giant
    White Dwarf
    Neutron Star
    Pulsar
    Binary Star
    Variable Star"
obligation%1:04:00::	تکمیل
obligation%1:26:00::	Dictionary Definition: Responsibility
obligation%1:24:00::	"Dictionary Definition: A personal relation in which one is indebted for a service or favor.
    Urdu Word:  خداگار"
obligation%1:21:00::	"Dictionary Definition: A written promise to repay a debt.
    Urdu Word: ضمان"
obligation%1:10:00::	Dictionary Definition: Covenant
nation%1:14:00::	حکومت
nation%1:14:01::	"Definition: The people who live in a nation or country.
    Urdu Word: قوم"
nation%1:18:00::	تلاشی گاہی
nation%1:14:02::	"Dictionary Definition: A federation of tribes (especially Native American tribes)
    Urdu Word: اتحاد"
two_dozen%1:23:00::	چوہدری
imperative%1:24:00::	"Dictionary Definition: Persuasion
    Urdu Word: تشویق (tashviq)"
imperative%1:04:00::	"Dictionary Definition: Obligation
    Urdu Word: فرض"
delegate%1:18:00::	Dictionary Definition: Representative
cost%1:21:00::	"Dictionary Definition: ""The total cost of a product or service, including all expenses incurred.""
    
    Urdu Word: خرچہ"
cost%1:07:00::	"Value, worth, price, and cost are all synonyms.
    
    Dictionary Definition: value"
cost%1:07:01::	"Dictionary Definition: Sacrifice
    Urdu Word: قربانی"
game%1:04:00::	"Definition: A competition where participants try to achieve a specific goal.
    
    Urdu Word: مسابقہ"
game%1:04:03::	"Definition: A single instance of a game.
    Urdu Word: میچ"
game%1:04:01::	"Definition: A source of enjoyment or pleasure.
    Urdu Word: تفریح"
game%1:05:00::	"Dictionary Definition: prey
    Urdu Word:  شھادत"
game%1:28:00::	Serve
game%1:23:00::	Score
game%1:13:00::	مچھلی گوشت
game%1:09:00::	"Dictionary Definition: Conspiracy
    Urdu Word: سازش"
game%1:06:00::	"Dictionary Definition: A small, handheld device used to measure the distance between two points.
    Urdu Word: ریموٹ"
game%1:04:02::	"Dictionary Definition: A person who studies and interprets ancient texts and artifacts.
    Urdu Word:  تاریخ دان"
game%1:04:04::	"Dictionary Definition: frivolous or trifling behavior
    Urdu Word: بے فکر"
hegemony%1:14:00::	حاکمیت
mexico%1:15:00::	جمہوریہ
central_america%1:15:00::	
central_america%1:14:00::	"Central America

    سارے وسطی امریکہ"
adviser%1:18:00::	"Dictionary Definition: A person who gives advice.
    Urdu Word: مشیر"
treaty%1:10:00::	"Treat the definition as if you were speaking to a native Urdu speaker.
    
    Dictionary Definition: A treaty is a formal agreement between two or more states or sovereigns.
    
    Urdu Word: پیمان"
participant%1:18:00::	"Definition: A person who is involved in a particular activity or process.
    Urdu Word: شرکت‌کن"
participant%1:18:01::	"Definition: A person who plays a sport.
    Urdu Word: کھلاڑی"
member%1:18:00::	Dictionary Definition: Member
member%1:24:00::	"Definition: A thing that is not alive.
    Urdu Word: غیر جیవاتی"
member%1:08:00::	"Definition: a small, pointed projection on the skin
    Urdu Word: نوک"
member%1:14:00::	"Dictionary definition: an organization that is a member of another organization (especially a state that belongs to a group of nations)
    Urdu word: رکن"
member%1:08:01::	"Dictionary Definition: the male organ of copulation (`member' is a euphemism)
    Urdu Word:  جنسی اعضاء"
draft%1:21:00::	"Dictionary Definition: A bill of exchange.
    Urdu Word: چیک"
draft%1:19:00::	"Dictionary Definition: draft
    
    Urdu Word: ہوا"
draft%1:06:01::	"Definition: a preliminary sketch of a design or picture
    Urdu Word: نقشہ"
draft%1:13:00::	"Dictionary Definition: A keg is a large container, typically made of metal, used to store and dispense beer, wine, or spirits. It is often used for parties and gatherings.
    
    Urdu Word:
     Keg 
    سلو
    
    Urdu Word:
    چنک"
draft%1:10:00::	"Definition: A state of being or existence.
    Urdu Word: وجود"
draft%1:07:00::	"Dictionary definition: the depth of a vessel's keel below the surface (especially when loaded)
    Urdu word: غوطہ"
draft%1:06:02::	"Dictionary Definition: A regulator for controlling the flow of air in a fireplace.
    Urdu Word: ہواکنترل"
draft%1:06:00::	Medicine
draft%1:04:03::	سرسری
draft%1:04:02::	Urdu word:  پچھاڑ
draft%1:04:00::	"Dictionary Definition: the act of moving a load by drawing or pulling
    Urdu Word:  نشل کرنا"
proposal%1:10:00::	"Definition: A statement of facts or opinions.
    Urdu Word: بیان"
proposal%1:10:02::	Nikah
proposal%1:10:01::	Dictionary Definition: Suggestion
