unbreakable	اٹوٹ
corroboration	تصدیق
affirmation	تصدیق
certification	تصدیق
verification	تصدیق
inflective	تصریفی
phonation	تصویت
likeness	تصویر
contradiction	تضاد
opposition	تضاد
mockery	تضحیک
sanctification	تطہیر
purification	تطہیر
chase	تعاقب
pursuit	تعاقب
neutralization	تعدیل
admiration	تعریف
praise	تعریف
condolence	تعزیت
penalty	تعزیر
penalization	تعزیر
punitive	تعزیری
penal	تعزیری
penology	تعزیریات
adoration	تعظیم
instruction	تعلیم
construction	تعمیر
compliance	تعمیل
universalization	تعمیم
generalization	تعمیم
talisman	تعویذ
delay	تعویق
alimentation	تغذیہ
investigatory	تفتیشی
fun	تفریح
diversion	تفریح
entertainment	تفریح
amusement	تفریح
recreation	تفریح
recreational	تفریحی
subtraction	تفریق
allotment	تفویض
devolvement	تفویض
lot	تقدیر
destiny	تقدیر
consecration	تقدیس
ceremony	تقریب
almost	تقریباً
approximately	تقریباً
nearly	تقریباً
speech	تقریر
oration	تقریر
reduction	تقلیل
tiredness	تکان
altercation	تکرار
respect	تکریم
calcination	تکلیس
completion	تکمیل
technique	تکنیک
genesis	تکوین
search	تلاش
quest	تلاش
indemnification	تلافی
impersonation	تلبیس
draff	تلچھٹ
bitter	تلخ
abstract	تلخیص
sword	تلوار
fencer	تلوریا
spleen	تِلّی
under	تلے
sight	تماشا
show	تماشا
spectacle	تماشا
entertainment	تماشا
spectator	تماشائی
onlooker	تماشائی
complete	تمام
all	تمام
glow	تمتمانا
drama	تمثیل
allegorical	تمثیلی
analogical	تمثیلی
longing	تمنّا
preamble	تمہید
preliminary	تمہیدی
introductory	تمہیدی
controversy	تنازعہ
pay	تنخواہ
diligence	تندہی
revocation	تنسیخ
abrogation	تنسیخ
cancellation	تنسیخ
installation	تنصیب
bisection	تنصیف
arrangement	تنظیم
narrow	تنگ
tight	تنگ
stretch	تننا
illumination	تنویر
single	تنہا
only	تنہا
privacy	تنہائی
energy	توانائی
lisper	توتلا
mound	تودہ
shortage	توڑا
toast	توس
weigh	تولنا
affluent	تونگر
civilization	تہذیب
empty	تہی
thirteenth	تیرھواں
keen	تیز
sharp	تیز
clever	تیز
adroit	تیز
quick	تیز
acidity	تیزابیت
swiftness	تیزی
oil	تیل
platter	تھال
stop	تھامنا
fatigue	تھکانا
weariness	تھکاوٹ
tiredness	تھکن
fatigue	تھکن
tire	تھکنا
column	تھم
pillar	تھم
cease	تھمنا
udder	تھن
daub	تھوپنا
salinity	تھور
scanty	تھوڑا
pony	ٹٹّو
sandpiper	ٹٹیری
collision	ٹکّر
clitoris	ٹنا
stroll	ٹہلنا
saunter	ٹہلنا
nudge	ٹہوکا
crookedness	ٹیڑھ
crooked	ٹیڑھا
tiny	ٹینی
brazi	ٹھٹھیرا
tinner	ٹھٹھیرا
stupid	ٹھس
thug	ٹھگ
dead	ٹھنڈا
coolness	ٹھنڈک
solid	ٹھوس
firm	ٹھوس
fix	ٹھہرانا
stop	ٹھہرنا
second	ثانوی
secondary	ثانوی
match	ثانی
result	ثمر
fruit	ثمر
place	جا
succession	جانشینی
magician	جادوگر
witchcraft	جادوگری
winter	جاڑا
trap	جال
net	جالی
life	جان
assessment	جانچ
appraisal	جانچ
examination	جانچ
trial	جانچ
test	جانچنا
know	جاننا
when	جب
oppression	جبر
compulsion	جبر
determinism	جبریت
separate	جداگانہ
schedule	جدول
grandmother	جدّہ
sentimental	جذباتی
emotional	جذباتی
sentiment	جذبہ
locust	جراد
brave	جری
island	جزیرہ
zinc	جست
bind	جست
jubilee	جشن
glow	جگنو
splendour	جلال
majesty	جلالت
light	جلانا
kindle	جلانا
haste	جلدی
group	جماعت
beauty	جمال
fix	جمانا
set	جمانا
populace	جمہور
democratic	جمہوری
democracy	جمہوریت
republic	جمہوریہ
appliance	جنتر
machine	جنتر
almanac	جنتری
woodland	جنگل
savage	جنگلی
wild	جنگلی
martial	جنگی
warlike	جنگی
bear	جننا
who	جو
counterpart	جواب
reply	جواب
retaliatory	جوابی
adult	جوان
light	جوت
astrologer	جوتشی
add	جوڑنا
attach	جوڑنا
ague	جُوڑی
ebullience	جوش
pond	جوہڑ
seeker	جویا
where	جہاں
exertion	جہد
jail	جیل
chandelier	جھاڑ
thicket	جھاڑی
foam	جھاگ
scum	جھاگ
cymbal	جھانجھ
hirsute	جھبرا
shaggy	جھبرا
jerk	جھٹکا
squabble	جھگڑا
light	جھلکار
bunt	جھنڈی
undergo	جھیلنا
lick	چاٹنا
bedclothe	چادر
chalk	چاک
tactic	چال
gait	چال
artful	چالاک
foxy	چالاک
canny	چالاک
calculate	چالاک
clever	چالاک
sly	چالاک
catty	چالاک
craftiness	چالاکی
cleverness	چالاکی
fortieth	چالیسواں
moonlight	چاندنی
silver	چاندی
love	چاہنا
need	چاہنا
masticate	چبانا
crack	چٹاخا
mat	چٹائی
crack	چٹخا
bleak	چٹیل
light	چراغ
filch	چُرانا
copy	چربہ
trace	چربہ
fat	چربی
carousel	چرخ
manger	چرنی
shepherd	چرواہا
acclivity	چڑھائی
invasion	چڑھائی
rise	چڑھنا
gown	چُغہ
revolution	چکّر
giddiness	چکّر
wheel	چکّر
befog	چکرانا
bedevil	چکرانا
whorehouse	چکلا
wide	چکلا
broadness	چکلان
taste	چکھنا
operate	چلانا
custom	چلن
lustre	چمک
shine	چمک
sheen	چمک
shine	چمکنا
glisten	چمکنا
glitter	چمکنا
strop	چموٹا
gram	چنا
jasmine	چنبیلی
several	چند
square	چوکور
fourfold	چوگنا
stroke	چوٹ
injury	چوٹ
apex	چوٹی
thief	چور
theft	چوری
bran	چُونی
warble	چہکار
chirrup	چہکار
smallpox	چیچک
disciple	چیلا
fledgling	چینچلا
umbrella	چھاتا
breast	چھاتی
bosom	چھاتی
buttermilk	چھاچھ
roof	چھانا
sift	چھاننا
arcade	چھتّا
umbrella	چھتری
sixth	چھٹا
bachelor	چھڑا
six	چھکّا
leap	چھلانگ
spring	چھلانگ
will	چھلاوا
strainer	چھلنی
small	چھوٹا
petty	چھوٹا
little	چھوٹا
littleness	چھوٹائی
smallness	چھوٹائی
leave	چھوڑنا
desert	چھوڑنا
relinquish	چھوڑنا
release	چھوڑنا
discharge	چھوڑنا
hole	چھید
perforate	چھیدنا
excite	چھیڑنا
chisel	چھینی
need	حاجت
governor	حاکم
master	حاکم
state	حالت
defender	حامی
pill	حب
final	حتمی
categorical	حتمی
barber	حجّام
warmth	حرارت
calorie	حرارہ
unlawful	حرام
envy	حسد
jealousy	حسد
hashish	حشیش
due	حق
mean	حقیر
reality	حقیقت
actual	حقیقی
arbitrator	حکم
command	حکم
philosophical	حکیمانہ
ring	حلقہ
circle	حلقہ
folly	حماقت
stupidity	حماقت
porter	حمّال
porterage	حمّالی
attack	حملہ
invasion	حملہ
havildar	حوالدار
life	حیات
vitamin	حیاتین
breakup	خاتمہ
finis	خاتمہ
thorn	خار
porcupine	خارپشت
main	خاص
principal	خاص
considerable	خاصا
plan	خاکہ
sketch	خاکہ
unoccupied	خالی
empty	خالی
vacant	خالی
void	خالی
idle	خالی
inexperienced	خام
quiet	خاموش
mute	خاموش
silent	خاموش
silence	خاموشی
fault	خامی
race	خاندان
atrocity	خباثت
cautious	خبردار
circumspection	خبرداری
vigilance	خبرداری
wicked	خبیث
trouble	خرابی
ill	خرابی
spendthrift	خرّاچ
scratch	خراش
buyer	خریدار
purchaser	خریدار
purchase	خریدنا
buy	خریدنا
deficit	خسارہ
dilapidate	خستہ
stingy	خسیس
epistle	خط
wrongdoing	خطا
fault	خطا
perilous	خطرناک
dangerous	خطرناک
hazardous	خطرناک
risk	خطرہ
fear	خطرہ
displeasure	خفگی
small	خفیف
clandestine	خُفیہ
vacuum	خلا
vacancy	خلا
lacuna	خلا
break	خلل
affable	خلیق
flexure	خم
askew	خمیدہ
leaven	خمیر
yeast	خمیر
ditch	خندق
chillsome	خُنک
disgrace	خواری
sister	خواہر
sisterly	خواہرانہ
desire	خواہش
casque	خود
happy	خوش
cluster	خوشہ
shell	خول
think	خیال
apprehension	خیال
visionary	خیالی
fictitious	خیالی
imaginary	خیالی
unreal	خیالی
applause	داد
ringworm	داد
gift	داد
beard	داڑھی
concubine	داشتہ
scar	داغ
stain	داغ
dal	دال
cost	دام
value	دام
son	داماد
sage	دانا
wisdom	دانائی
tooth	دانت
wisdom	دانش
gamut	دائرہ
everlaste	دائمی
thickness	دبازت
tanner	دبّاغ
quell	دبانا
compress	دبانا
state	دبدبہ
majesty	دبدبہ
shrink	دبکنا
thin	دُبلا
thick	دبیز
occupation	دخل
in	در
into	در
crack	دراڑ
courtier	درباری
category	درجہ
status	درجہ
desire	درخواست
application	درخواست
appeal	درخواست
cleft	درز
tailor	درزی
curricular	درسی
mean	درمیانی
entrance	دروازہ
river	دریا
access	دسترس
haft	دستہ
manual	دستی
handkerchief	دستی
tenth	دسواں
curse	دُشنام
difficulty	دُشواری
claim	دعویٰ
workplace	دفتر
register	دفتر
roll	دفتر
office	دفتر
horde	دل
quagmire	دلدل
marshy	دلدلی
attractive	دلکش
breath	دم
spirit	دم
vigour	دم
tail	دُم
kettledrum	دمدمہ
glitter	دمک
asthma	دمہ
worldliness	دنیاداری
again	دوبارہ
cure	دوا
pharmacy	دواخانہ
eternity	دوام
everlaste	دوام
midday	دوپہر
noon	دوپہر
distant	دُور
distance	دُوری
hell	دوزخ
pal	دوست
friend	دوست
friendship	دوستی
amity	دوستی
shoulder	دوش
maidenhood	دوشیزگی
virginity	دوشیزگی
virgin	دوشیزہ
damsel	دوشیزہ
hybrid	دوغلا
both	دونوں
mouth	دہانہ
brink	دہانہ
decade	دہائی
atheism	دہریت
atheist	دہریہ
terror	دہشت
dread	دہشت
threshold	دہلیز
oil	دُہن
yogurt	دہی
delay	دیر
country	دیس
debt	دین
allow	دینا
gigantic	دیوپیکر
village	دیہہ
villager	دیہاتی
rural	دیہاتی
rural	دیہی
rustic	دیہی
streak	دھاری
stain	دھبّا
jolt	دھچکا
faith	دھرم
womb	دھرن
faction	دھڑا
fear	دھڑکا
palpitation	دھڑکن
shove	دھکیلنا
push	دھکیلنا
blast	دھماکا
explosion	دھماکا
threaten	دھمکانا
threat	دھمکی
air	دُھن
haze	دُھند
work	دھندا
foggy	دُھندلا
dim	دُھندلا
dimness	دُھندلاہٹ
rainbow	دھنک
launderer	دھوبی
sunlight	دُھوپ
deceit	دھوکا
wash	دھونا
plug	ڈاٹ
bandit	ڈاکو
rebuke	ڈانٹ
chide	ڈانٹنا
rebuke	ڈانٹنا
scold	ڈانٹنا
scare	ڈرانا
frighten	ڈرانا
intimidation	ڈراوا
eructation	ڈکار
club	ڈنڈا
staff	ڈنڈا
thread	ڈوری
destroy	ڈھانا
frame	ڈھانچا
lid	ڈھکنا
declivity	ڈھلان
mound	ڈھیر
substance	ذات
personal	ذاتی
store	ذخیرہ
mean	ذریعہ
agency	ذریعہ
chin	ذقن
wit	ذکاوت
sharp	ذکی
baseness	ذلالت
base	ذلیل
sagacious	ذہین
intelligent	ذہین
night	رات
bricklayer	راج
mystery	راز
secret	راز
cape	راس
vertex	راس
straight	راست
right	راست
way	راستہ
willing	راضی
raga	راگ
resin	رال
pitch	رال
relater	راوی
opinion	رائے
judgement	رائے
vote	رائے
quatrain	رُباعی
relation	ربط
slipperiness	رپٹن
mercy	رحم
pity	رحم
roc	رُخ
face	رُخ
gap	رخنہ
alteration	ردوبدل
epic	رزمیہ
juice	رس
reach	رسائی
access	رسائی
custom	رسم
formal	رسمی
disgrace	رُسوائی
sediment	رُسوب
addict	رسیا
mellowness	رسیدگی
maturity	رسیدگی
juicy	رسیلا
succulent	رسیلا
lead	رصاص
consent	رضا
thunder	رعد
like	رغبت
affection	رغبت
companionship	رفاقت
association	رفاقت
comradeship	رفاقت
velocity	رفتار
friend	رفیق
area	رقبہ
dance	رقص
thin	رقیق
liquid	رقیق
dish	رکابی
plate	رکابی
set	رکھنا
keeper	رکھوالا
nerve	رگ
graze	رگڑ
grind	رگڑنا
symbol	رمز
symbolism	رمزیت
sorrow	رنج
chagrin	رنجیدگی
sad	رنجیدہ
widower	رنڈوا
whore	رنڈی
prostitute	رنڈی
colour	رنگ
look	رنگ
colour	رنگنا
colour	رنگین
colourful	رنگین
face	رُو
tolerance	رواداری
fluid	رواں
go	رواں
flow	رواں
dispatch	روانگی
departure	روانگی
fluency	روانی
loaf	روٹی
bread	روٹی
day	روز
employment	روزگار
hindrance	روک
bondage	روک
impede	روکنا
dry	رُوکھا
disease	روگ
cry	رونا
weep	رونا
monasticism	رہبانیت
plate	طشتری
sand	ریت
rope	ریسمان
silk	ریشم
silky	ریشمی
sand	ریگ
desert	ریگستان
crawl	رینگنا
pit	گڑھا
adulterer	زانی
fornicator	زانی
fornicator	زانیہ
angle	زاویہ
bear	زائیدہ
force	زبردستی
high	زبردستی
childbirth	زچگی
trouble	زحمت
wound	زخم
gold	زر
gold	زرکوب
yellow	زرد
agrarian	زرعی
monetary	زری
saffron	زعفران
leap	زقند
jump	زقند
earthquake	زلزلہ
time	زمان
land	زمین
woman	زن
female	زنانہ
feminine	زنانہ
wallet	زنبیل
fall	زوال
force	زور
strength	زور
poison	زہر
poisonous	زہریلا
under	زیر
lower	زیریں
seventh	ساتواں
sixtieth	ساٹھواں
partnership	ساجھا
partner	ساجھی
naivety	سادگی
plainness	سادگی
simplicity	سادگی
simple	سادہ
cameleer	ساربان
whole	سارا
sarangi	سارنگی
goodwill	ساکھ
ocean	ساگر
teak	ساگوان
brother	سالا
yearly	سالانہ
birthday	سالگرہ
imperialistic	سامراجی
whetstone	سان
hone	سان
flail	سانٹ
mould	سانچا
matrix	سانچا
moneylender	ساہوکار
questioner	سائل
applicant	سائل
shade	سایہ
cause	سبب
ground	سبب
greenness	سبزی
crowbar	سبّل
essence	ست
extract	ست
awl	سُتاری
annoy	ستانا
seventeenth	سترھواں
adorn	سجانا
decorate	سجانا
pure	سچّا
truthful	سچّا
sincere	سچّا
true	سچّا
truth	سچّائی
munificence	سخاوت
generosity	سخاوت
hard	سخت
severe	سخت
solid	سخت
harsh	سخت
rigidity	سختی
strictness	سختی
hardness	سختی
ever	سدا
skull	سر
head	سربراہ
patron	سرپرست
patronage	سرپرستی
diligent	سرگرم
earnest	سرگرم
whisper	سرگوشی
tune	سُر
mirage	سراب
wholly	سراسر
commend	سراہنا
praise	سراہنا
inn	سرائے
frigid	سرد
cold	سرد
headship	سرداری
chieftainship	سرداری
cursory	سرسری
weevil	سُرسُری
insurrection	سرکشی
cypress	سرو
punishment	سزا
inexpensive	سستا
shallow	سطحی
superficial	سطحی
attempt	سعی
white	سفید
whitewash	سفیدی
whiteness	سفیدی
ambassador	سفیر
stamina	سکت
salute	سلام
sultanate	سلطنت
poison	سم
society	سماج
celestial	سماوی
room	سمائی
explain	سمجھانا
sea	سمندر
marine	سمندری
jute	سن
numb	سُن
senna	سنا
hold	سنبھالنا
sentry	سنتری
frille	سنجافی
gravity	سنجیدگی
seriousness	سنجیدگی
solemn	سنجیدہ
sober	سنجیدہ
serious	سنجیدہ
sensation	سنسنی
thrill	سنسنی
pincer	سنسی
stone	سنگ
hard	سنگین
heed	سُننا
improve	سنوارنا
saturday	سنیچر
vehicle	سواری
disguise	سوانگ
interest	سُود
needle	سوزن
dry	سُوکھا
sixteenth	سولھواں
empty	سُونا
gold	سونا
cudgel	سونٹا
prop	سہارا
easy	سہل
simple	سہل
oversight	سہو
mistakenly	سہواً
erroneously	سہواً
from	سے
with	سے
liquid	سیّال
full	سیر
seer	سیر
satiety	سیری
horn	شاخ
verdure	شادابی
delight	شادمان
happiness	شادمانی
joy	شادمانی
marriage	شادی
urine	شاش
querulous	شاکی
shawl	شال
evening	شام
mode	شان
grandeur	شان
tranquillity	شانتی
pompous	شاندار
comb	شانہ
chauvinism	شاونیت
princely	شاہانہ
regal	شاہانہ
politeness	شائستگی
refine	شائستہ
polite	شائستہ
gentle	شائستہ
perhaps	شاید
word	شبد
dew	شبنم
dewy	شبنمی
person	شخص
individual	شخص
severe	شدید
intense	شدید
heavy	شدید
boozer	شرابی
mischief	شرارت
nobility	شرافت
rate	شرح
bet	شرط
shame	شرم
bashful	شرمیلا
modest	شرمیلا
artery	شریان
wicked	شریر
naughty	شریر
participant	شریک
work	شغل
transparent	شفّاف
affectionate	شفیق
kind	شفیق
migraine	شقیقہ
suspicion	شک
